0.774000,-0.606000,2
0.136000,-0.446000,2
0.310000,-0.436000,2
0.148000,-0.508000,2
0.290000,-0.750000,1
0.526000,-0.254000,1
0.560000,-0.282000,1
0.872000,-0.768000,2
0.182000,-0.056000,1
0.246000,-0.870000,1
0.288000,-0.814000,1
0.786000,-0.518000,2
0.808000,-0.526000,2
0.132000,-0.632000,1
0.698000,-0.674000,1
0.254000,-0.070000,2
0.874000,-0.740000,2
0.496000,-0.232000,1
0.648000,-0.670000,1
0.650000,-0.032000,1
0.828000,-0.726000,2
0.368000,-0.494000,2
0.310000,-0.504000,2
0.576000,-0.212000,1
0.074000,-0.320000,2
0.410000,-0.364000,1
0.686000,-0.886000,1
0.776000,-0.904000,1
0.518000,-0.806000,1
0.026000,-0.080000,2
0.466000,-0.640000,1
0.478000,-0.788000,1
0.812000,-0.964000,1
0.570000,-0.260000,2
0.736000,-0.086000,1
0.820000,-0.856000,2
0.096000,-0.420000,2
0.424000,-0.940000,1
0.620000,-0.744000,2
0.560000,-0.112000,1
0.744000,-0.962000,2
0.146000,-0.050000,1
0.746000,-0.716000,2
0.398000,-0.866000,1
0.920000,-0.348000,2
0.762000,-0.456000,2
0.960000,-0.032000,2
0.742000,-0.498000,2
0.616000,-0.510000,2
0.116000,-0.944000,1
0.808000,-0.710000,2
0.030000,-0.730000,2
0.798000,-0.116000,1
0.580000,-0.648000,1
0.614000,-0.836000,1
0.702000,-0.568000,2
0.816000,-0.526000,2
0.442000,-0.796000,1
0.872000,-0.870000,2
0.664000,-0.526000,2
0.628000,-0.604000,1
0.812000,-0.806000,2
0.072000,-0.200000,2
0.424000,-0.940000,1
0.448000,-0.526000,2
0.554000,-0.942000,1
0.238000,-0.940000,1
0.242000,-0.918000,1
0.972000,-0.838000,2
0.348000,-0.122000,1
0.546000,-0.360000,2
0.302000,-0.280000,1
0.816000,-0.278000,1
0.424000,-0.410000,1
0.946000,-0.712000,2
0.724000,-0.342000,2
0.016000,-0.218000,2
0.244000,-0.328000,2
0.852000,-0.562000,2
0.676000,-0.822000,1
0.434000,-0.046000,1
0.572000,-0.402000,1
0.034000,-0.622000,2
0.140000,-0.722000,2
0.264000,-0.216000,1
0.700000,-0.490000,2
0.892000,-0.566000,2
0.608000,-0.186000,1
0.188000,-0.276000,2
0.712000,-0.532000,2
0.278000,-0.890000,2
0.926000,-0.116000,2
0.432000,-0.220000,1
0.998000,-0.956000,2
0.740000,-0.900000,2
0.704000,-0.202000,1
0.696000,-0.950000,1
0.504000,-0.504000,2
0.548000,-0.534000,1
0.584000,-0.344000,1
0.950000,-0.910000,2
0.346000,-0.532000,2
0.558000,-0.174000,1
0.890000,-0.668000,2
0.290000,-0.466000,2
0.390000,-0.404000,1
0.466000,-0.830000,1
0.462000,-0.738000,1
0.322000,-0.712000,1
0.146000,-0.336000,2
0.608000,-0.934000,1
0.088000,-0.316000,2
0.822000,-0.112000,1
